                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.81186,                0.61883,                 1.4237,                0.99439,                0.94118,                0.95941,                0.77332,                0.81845,                0.51287,                 1.4982,              0.0082428,              0.0082428,              0.0082428
                     73,                0.82412,                 0.6327,                  1.468,                0.99542,                0.94118,                0.95252,                0.78963,                0.79276,                0.54987,                 1.4752,               0.008218,               0.008218,               0.008218
                     74,                0.85501,                0.63765,                 1.4488,                0.99793,                      1,                  0.995,                0.77844,                0.87405,                0.61206,                 1.6407,              0.0081932,              0.0081932,              0.0081932
                     75,                0.81231,                0.60986,                 1.4511,                0.96232,                0.94118,                0.98974,                0.80762,                0.76678,                0.70989,                 1.4738,              0.0081685,              0.0081685,              0.0081685
                     76,                0.86896,                0.66985,                 1.4709,                0.93582,                0.85865,                0.93716,                 0.6795,                0.97594,                 2.2411,                 1.7253,              0.0081437,              0.0081437,              0.0081437
                     77,                0.84756,                0.60932,                 1.4267,                      1,                0.99222,                  0.995,                0.75875,                0.87105,                0.67854,                 1.5855,               0.008119,               0.008119,               0.008119
                     78,                0.84893,                0.63837,                 1.4416,                0.98484,                0.94118,                0.98548,                0.77198,                0.80572,                0.64854,                  1.479,              0.0080942,              0.0080942,              0.0080942
                     79,                0.81999,                0.62097,                 1.4671,                0.94083,                      1,                0.98556,                0.77545,                0.77762,                 0.5494,                 1.5221,              0.0080695,              0.0080695,              0.0080695
                     80,                0.81384,                0.63002,                 1.4033,                0.97782,                0.94118,                0.96018,                0.79954,                0.79603,                0.50624,                 1.5358,              0.0080447,              0.0080447,              0.0080447
                     81,                0.79707,                0.60383,                 1.3889,                 0.9951,                      1,                  0.995,                0.76537,                0.79128,                0.63465,                 1.5115,                0.00802,                0.00802,                0.00802
                     82,                0.79614,                0.63441,                 1.4063,                      1,                0.99626,                  0.995,                0.79132,                0.84778,                 0.5419,                 1.5525,              0.0079953,              0.0079953,              0.0079953
                     83,                0.80951,                0.61676,                 1.4277,                      1,                0.99846,                  0.995,                0.77567,                0.74382,                0.51113,                 1.5049,              0.0079705,              0.0079705,              0.0079705
                     84,                0.78707,                0.62342,                 1.3963,                      1,                0.99597,                  0.995,                0.79157,                0.77091,                0.50903,                 1.4514,              0.0079457,              0.0079457,              0.0079457
                     85,                 0.7464,                0.55339,                 1.3438,                      1,                0.99868,                  0.995,                0.81107,                0.75626,                0.52597,                 1.4727,               0.007921,               0.007921,               0.007921
                     86,                0.75995,                0.55256,                  1.391,                0.99707,                      1,                  0.995,                0.82209,                0.70434,                0.45489,                 1.4367,              0.0078963,              0.0078963,              0.0078963
                     87,                0.77748,                0.58492,                 1.4039,                      1,                0.99653,                  0.995,                0.81057,                0.71201,                0.46131,                 1.4085,              0.0078715,              0.0078715,              0.0078715
                     88,                0.76114,                0.56445,                 1.3617,                      1,                 0.9994,                  0.995,                0.77415,                 0.7924,                0.51332,                 1.5545,              0.0078467,              0.0078467,              0.0078467
                     89,                 0.7902,                0.58684,                 1.3681,                      1,                0.99864,                  0.995,                0.77311,                 0.8343,                0.49228,                 1.5737,               0.007822,               0.007822,               0.007822
                     90,                0.77464,                0.58671,                 1.3752,                      1,                0.99965,                  0.995,                0.77099,                0.84202,                0.59166,                 1.6098,              0.0077973,              0.0077973,              0.0077973
                     91,                 0.7612,                0.54187,                  1.362,                0.99101,                      1,                  0.995,                0.82651,                0.74146,                0.55068,                 1.4908,              0.0077725,              0.0077725,              0.0077725
                     92,                0.73661,                0.55856,                 1.3791,                0.98775,                0.94118,                0.96271,                0.79159,                0.78623,                0.52036,                 1.4992,              0.0077478,              0.0077478,              0.0077478
                     93,                0.77036,                0.56188,                 1.3758,                0.99017,                0.88235,                0.94101,                0.77337,                0.86153,                0.61078,                 1.6648,               0.007723,               0.007723,               0.007723
                     94,                 0.7659,                 0.5877,                 1.3804,                0.97487,                0.94118,                0.96135,                0.76345,                0.81381,                 0.6847,                 1.5685,              0.0076983,              0.0076983,              0.0076983
                     95,                0.77013,                0.56532,                 1.3798,                0.96168,                0.94118,                0.97536,                0.75231,                0.84419,                 0.6273,                 1.6077,              0.0076735,              0.0076735,              0.0076735
                     96,                 0.7217,                0.52929,                 1.3294,                0.94416,                0.99479,                0.99222,                0.80471,                0.72706,                0.47026,                 1.4651,              0.0076488,              0.0076488,              0.0076488
                     97,                0.77929,                0.56622,                 1.3633,                      1,                0.99711,                  0.995,                0.77836,                 0.7895,                0.45581,                 1.4923,               0.007624,               0.007624,               0.007624
                     98,                0.73947,                0.55177,                 1.3395,                0.99186,                0.94118,                0.96167,                0.78963,                0.77805,                0.51044,                 1.4934,              0.0075993,              0.0075993,              0.0075993
                     99,                0.75456,                0.55131,                 1.3321,                      1,                0.99579,                  0.995,                0.79758,                0.77099,                0.46217,                 1.4923,              0.0075745,              0.0075745,              0.0075745
                    100,                0.74457,                0.52934,                 1.3403,                0.99633,                      1,                  0.995,                0.81854,                0.71983,                 0.6331,                 1.3831,              0.0075498,              0.0075498,              0.0075498
                    101,                0.75197,                0.56942,                 1.3711,                0.94003,                      1,                0.99222,                0.84366,                0.64745,                0.47725,                 1.3326,               0.007525,               0.007525,               0.007525
                    102,                0.74587,                0.55007,                  1.348,                0.99973,                      1,                  0.995,                0.77783,                0.72873,                0.41333,                 1.4983,              0.0075003,              0.0075003,              0.0075003
                    103,                0.70825,                0.52058,                 1.3184,                0.99053,                0.94118,                0.98974,                0.75986,                0.86874,                0.53915,                 1.6755,              0.0074755,              0.0074755,              0.0074755
                    104,                0.72325,                0.54046,                 1.3286,                0.93695,                      1,                0.99222,                0.78514,                0.74523,                0.47757,                 1.4925,              0.0074507,              0.0074507,              0.0074507
                    105,                 0.7169,                0.54967,                  1.336,                      1,                0.99728,                  0.995,                0.76795,                0.81738,                0.48332,                 1.5212,               0.007426,               0.007426,               0.007426
                    106,                0.71322,                0.52866,                 1.3305,                0.97912,                0.76471,                 0.8753,                0.56887,                 1.1322,                0.97019,                 1.9243,              0.0074013,              0.0074013,              0.0074013
                    107,                0.72238,                0.56039,                 1.3421,                0.98935,                0.94118,                0.98196,                0.79744,                0.81331,                0.53015,                 1.4925,              0.0073765,              0.0073765,              0.0073765
                    108,                0.72144,                0.55487,                  1.326,                0.99703,                      1,                  0.995,                0.80301,                0.70748,                0.58678,                 1.3547,              0.0073517,              0.0073517,              0.0073517
                    109,                0.70132,                0.53243,                 1.3084,                0.94428,                0.99698,                0.99222,                0.81591,                0.73162,                0.50535,                 1.3987,               0.007327,               0.007327,               0.007327
                    110,                0.72515,                0.56183,                 1.3316,                0.99723,                      1,                  0.995,                0.82369,                 0.7118,                0.38403,                 1.3651,              0.0073023,              0.0073023,              0.0073023
                    111,                0.69446,                0.52209,                 1.3254,                 0.9806,                0.94118,                0.98974,                0.80556,                 0.7918,                0.68298,                 1.5492,              0.0072775,              0.0072775,              0.0072775
                    112,                0.70182,                0.54101,                 1.2979,                0.94109,                      1,                0.99222,                0.79675,                0.78298,                0.64515,                 1.4759,              0.0072527,              0.0072527,              0.0072527
                    113,                0.69697,                 0.5339,                 1.3137,                0.94209,                      1,                0.99222,                0.81882,                0.75642,                 0.5056,                 1.4531,               0.007228,               0.007228,               0.007228
                    114,                0.68193,                0.53571,                 1.3041,                0.93815,                      1,                0.99222,                0.79588,                0.76384,                0.47696,                 1.4771,              0.0072033,              0.0072033,              0.0072033
                    115,                0.70641,                0.52608,                 1.3167,                0.93695,                0.94118,                0.96074,                0.78548,                0.77925,                0.57432,                 1.5151,              0.0071785,              0.0071785,              0.0071785
                    116,                0.69532,                0.52913,                 1.3267,                0.99188,                0.94118,                0.96625,                0.80445,                 0.7365,                0.49949,                 1.4357,              0.0071538,              0.0071538,              0.0071538
                    117,                0.71375,                 0.5299,                 1.3121,                0.93702,                0.94118,                0.96889,                0.78083,                0.77176,                0.45368,                 1.5047,               0.007129,               0.007129,               0.007129
                    118,                0.67278,                0.51476,                 1.2862,                0.98728,                0.88235,                0.96953,                0.74456,                0.80342,                0.55516,                 1.5692,              0.0071042,              0.0071042,              0.0071042
